Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Shipping Lead Time,Factory,Factory Latitude,Factory Longitude,Factory_Lat,Factory_Lon,Delay Flag,Factory → State Route,Route,Route ID,Factory → Region Route,Factory_Region_Route,Shipment Year,Shipment Month,Shipment Month Name,Shipment Quarter,Shipment Week,Shipment Day,Shipment Day of Week,Ship Year,Ship Month,Ship Month Name,Ship Quarter,Ship Day of Week,Order Year,Order Month,Order Month Name,Order Day,Order Day of Week,Route Efficiency Score
1,US-2021-103800-CHO-MIL-31000,2024-01-03,2026-06-30,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Texas,Wicked Choccy's → Texas,Wicked_Choccy_s_to_Texas,Wicked Choccy's → Interior,Wicked Choccy's → Interior,2026,6,Jun,2,27,30,1,2026,6,Jun,2,Tuesday,2024,1,Jan,3,2,0.5145
2,US-2021-112326-CHO-TRI-54000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Illinois,Wicked Choccy's → Illinois,Wicked_Choccy_s_to_Illinois,Wicked Choccy's → Interior,Wicked Choccy's → Interior,2026,7,Jul,3,27,1,2,2026,7,Jul,3,Wednesday,2024,1,Jan,4,3,0.4758
3,US-2021-112326-CHO-NUT-13000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,909.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Illinois,Lot's O' Nuts → Illinois,Lot_s_O__Nuts_to_Illinois,Lot's O' Nuts → Interior,Lot's O' Nuts → Interior,2026,7,Jul,3,27,1,2,2026,7,Jul,3,Wednesday,2024,1,Jan,4,3,0.5009
4,US-2021-112326-CHO-SCR-58000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,10.8,3,7.5,3.3,909.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Illinois,Lot's O' Nuts → Illinois,Lot_s_O__Nuts_to_Illinois,Lot's O' Nuts → Interior,Lot's O' Nuts → Interior,2026,7,Jul,3,27,1,2,2026,7,Jul,3,Wednesday,2024,1,Jan,4,3,0.5009
5,US-2021-141817-CHO-TRI-54000,2024-01-05,2026-07-05,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,912.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Pennsylvania,Wicked Choccy's → Pennsylvania,Wicked_Choccy_s_to_Pennsylvania,Wicked Choccy's → Atlantic,Wicked Choccy's → Atlantic,2026,7,Jul,3,27,5,6,2026,7,Jul,3,Sunday,2024,1,Jan,5,4,0.5002
6,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,32.4,9,22.5,9.9,909.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Kentucky,Lot_s_O__Nuts_to_Kentucky,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4915
7,US-2021-167199-CHO-TRI-54000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Kentucky,Wicked Choccy's → Kentucky,Wicked_Choccy_s_to_Kentucky,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4315
8,US-2021-106054-CHO-MIL-31000,2024-01-06,2026-06-30,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,906.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Georgia,Wicked Choccy's → Georgia,Wicked_Choccy_s_to_Georgia,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,6,Jun,2,27,30,1,2026,6,Jun,2,Tuesday,2024,1,Jan,6,5,0.4469
9,US-2021-167199-CHO-NUT-13000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,909.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Kentucky,Lot_s_O__Nuts_to_Kentucky,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4915
10,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Kentucky,Wicked Choccy's → Kentucky,Wicked_Choccy_s_to_Kentucky,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4315
